-- Logs begin at Thu 2016-10-27 16:09:44 UTC, end at Thu 2016-10-27 16:46:54 UTC. --
Oct 27 16:39:41 managesf systemd[1]: Started Zuul Server Service.
Oct 27 16:39:41 managesf systemd[1]: Starting Zuul Server Service...
Oct 27 16:39:46 managesf zuul-server[21429]: 2016-10-27 16:39:46,747 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:46 managesf zuul-server[21429]: 2016-10-27 16:39:46,748 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:46 managesf zuul-server[21429]: 2016-10-27 16:39:46,748 DEBUG gear.Server: Polling 2 connections
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,750 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,751 INFO gear.Server: Received admin request <gear.AdminRequest 0x234b850 command: status>
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,751 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:merge        0        0        1
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,751 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:update        0        0        1
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,751 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: .
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,752 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x234b850 command: status>
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,752 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,752 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,752 DEBUG gear.Server: Polling 2 connections
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,755 DEBUG gear.Server: Accepting new connection
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,756 DEBUG gear.ServerConnection: Setting state to: INIT
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,756 INFO gear.Server: Accepted connection <gear.ServerConnection 0x234b850 name: None host: 192.168.122.10 port: 58122>
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,756 DEBUG gear.Server: Registering <gear.ServerConnection 0x234b850 name: None host: 192.168.122.10 port: 58122>
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,756 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x234b850 name: None host: 192.168.122.10 port: 58122>
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,757 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x234b850 name: None host: 192.168.122.10 port: 58122>
Oct 27 16:39:47 managesf zuul-server[21429]: 2016-10-27 16:39:47,757 DEBUG gear.Server: Polling 3 connections
Oct 27 16:39:47 managesf zuul-server[21429]: /usr/lib/python2.7/site-packages/paramiko/client.py:658: UserWarning: Unknown ssh-rsa host key for [gerrit.sftests.com]:29418: d614b1cc040ba674325e23b3a6b5c64f
Oct 27 16:39:47 managesf zuul-server[21429]: (key.get_name(), hostname, hexlify(key.get_fingerprint())))
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,103 DEBUG gear.Server: Accepting new connection
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,103 DEBUG gear.ServerConnection: Setting state to: INIT
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,103 INFO gear.Server: Accepted connection <gear.ServerConnection 0x23c5290 name: None host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,103 DEBUG gear.Server: Registering <gear.ServerConnection 0x23c5290 name: None host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,104 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5290 name: None host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,104 INFO gear.Server: Received packet from <gear.ServerConnection 0x23c5290 name: None host: 192.168.122.10 port: 58130>: <gear.Packet 0x23c52d0 type: SET_CLIENT_ID id: Zuul RPC Listener>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,104 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,104 INFO gear.Server: Received packet from <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>: <gear.Packet 0x23c5390 type: CAN_DO function: zuul:enqueue>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,105 DEBUG gear.Server: Adding function zuul:enqueue to <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,105 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,105 INFO gear.Server: Received packet from <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>: <gear.Packet 0x23c52d0 type: CAN_DO function: zuul:enqueue_ref>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,105 DEBUG gear.Server: Adding function zuul:enqueue_ref to <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,105 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,106 INFO gear.Server: Received packet from <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>: <gear.Packet 0x23c5390 type: CAN_DO function: zuul:promote>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,106 DEBUG gear.Server: Adding function zuul:promote to <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,106 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,106 INFO gear.Server: Received packet from <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>: <gear.Packet 0x23c53d0 type: CAN_DO function: zuul:get_running_jobs>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,106 DEBUG gear.Server: Adding function zuul:get_running_jobs to <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,107 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,107 INFO gear.Server: Received packet from <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>: <gear.Packet 0x23c5390 type: GRAB_JOB_UNIQ>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,107 DEBUG gear.ServerConnection: Queuing packet to <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>: <gear.Packet 0x23c53d0 type: NO_JOB>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,107 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,108 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,108 DEBUG gear.Server: Polling 4 connections
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,108 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,108 INFO gear.Server: Received packet from <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>: <gear.Packet 0x23c5390 type: PRE_SLEEP>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,108 DEBUG gear.ServerConnection: Setting state to: SLEEP
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,108 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,109 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x23c5290 name: Zuul RPC Listener host: 192.168.122.10 port: 58130>
Oct 27 16:39:48 managesf zuul-server[21429]: 2016-10-27 16:39:48,109 DEBUG gear.Server: Polling 4 connections
Oct 27 16:39:49 managesf zuul-server[21429]: 2016-10-27 16:39:49,924 ERROR gerrit.GerritWatcher: Exception on ssh event stream:
Oct 27 16:39:49 managesf zuul-server[21429]: Traceback (most recent call last):
Oct 27 16:39:49 managesf zuul-server[21429]: File "/srv/zuul/lib/python2.7/site-packages/zuul/connection/gerrit.py", line 178, in _run
Oct 27 16:39:49 managesf zuul-server[21429]: self._listen(stdout, stderr)
Oct 27 16:39:49 managesf zuul-server[21429]: File "/srv/zuul/lib/python2.7/site-packages/zuul/connection/gerrit.py", line 162, in _listen
Oct 27 16:39:49 managesf zuul-server[21429]: self._read(stdout)
Oct 27 16:39:49 managesf zuul-server[21429]: File "/srv/zuul/lib/python2.7/site-packages/zuul/connection/gerrit.py", line 149, in _read
Oct 27 16:39:49 managesf zuul-server[21429]: data = json.loads(l)
